Validation Measures/discrete_frechet_distance/qpos,Validation Measures/dynamic_time_warping/site_rpos,Agent Video,Validation Info/Mean Episode Length,Validation Measures/discrete_frechet_distance/site_rrotvec,_runtime,Mean Episode Length,Validation Measures/euclidean_distance/qvel,Validation Measures/euclidean_distance/site_rrotvec,Validation Measures/dynamic_time_warping/qvel,Validation Measures/dynamic_time_warping/site_rvel,Validation Measures/discrete_frechet_distance/site_rvel,_timestamp,_step,Validation Measures/discrete_frechet_distance/site_rpos,Mean Episode Return,Validation Measures/dynamic_time_warping/qpos,Validation Measures/discrete_frechet_distance/qvel,Validation Measures/euclidean_distance/qpos,Validation Measures/euclidean_distance/site_rvel,Validation Measures/dynamic_time_warping/site_rrotvec,Validation Info/Mean Episode Return,Validation Measures/euclidean_distance/site_rpos
,,,,,2131.079985773,109.26378631591797,,,,,,1764576635.3372076,134348800.0,,89.69572448730469,,,,,,,
,,,,,2131.08059433,108.7689437866211,,,,,,1764576635.3377497,135168000.0,,90.30976867675781,,,,,,,
,,,,,2131.081065039,109.17916870117188,,,,,,1764576635.3383052,135987200.0,,90.66085815429688,,,,,,,
,,,,,2131.081625183,109.43222045898438,,,,,,1764576635.3388379,136806400.0,,92.81784057617188,,,,,,,
,,,,,2131.08215042,108.89712524414062,,,,,,1764576635.3394032,137625600.0,,91.51483154296875,,,,,,,
,,,,,2131.082685104,108.63639831542969,,,,,,1764576635.3399217,138444800.0,,92.83068084716797,,,,,,,
,,,,,2131.083236792,109.36832427978516,,,,,,1764576635.3404584,139264000.0,,94.68473052978516,,,,,,,
,,,,,2131.083785529,108.58375549316406,,,,,,1764576635.3410103,140083200.0,,94.83422088623047,,,,,,,
,,,,,2131.084312336,109.56364440917969,,,,,,1764576635.3415508,140902400.0,,95.6865463256836,,,,,,,
,,,,,2131.084861308,109.44837188720703,,,,,,1764576635.3420825,141721600.0,,97.13542175292969,,,,,,,
,,,,,2131.085386223,110.67125701904297,,,,,,1764576635.342643,142540800.0,,97.9153823852539,,,,,,,
,,,,,2131.085903483,108.57760620117188,,,,,,1764576635.3431602,143360000.0,,98.00140380859375,,,,,,,
0.6658439040184021,10.369807243347168,,41.36764907836914,0.8687908053398132,2131.088843495,108.76097869873047,3.1605517864227295,0.4296973645687103,252.1874237060547,176.75997924804688,4.300741195678711,1764576635.3456562,144179200.0,0.34518665075302124,98.50714111328125,29.622365951538086,10.60537052154541,0.38981419801712036,2.105443239212036,23.04340934753418,43.65778732299805,0.1745339184999466
,,,,,2131.089409251,108.47664642333984,,,,,,1764576635.3466253,144998400.0,,98.59557342529297,,,,,,,
,,,,,2131.089946729,111.44261169433594,,,,,,1764576635.3471606,145817600.0,,102.84266662597656,,,,,,,
,,,,,2131.09049142,111.02537536621094,,,,,,1764576635.3476994,146636800.0,,103.50008392333984,,,,,,,
,,,,,2131.091022197,109.88609313964844,,,,,,1764576635.3482647,147456000.0,,102.58992767333984,,,,,,,
