Validation Measures/dynamic_time_warping/site_rrotvec,_runtime,Validation Measures/euclidean_distance/qvel,Validation Measures/dynamic_time_warping/site_rvel,Validation Measures/discrete_frechet_distance/site_rvel,Validation Info/Mean Episode Return,Mean Episode Length,Validation Info/Mean Episode Length,Validation Measures/dynamic_time_warping/qpos,Validation Measures/euclidean_distance/site_rvel,Validation Measures/discrete_frechet_distance/qvel,Validation Measures/euclidean_distance/qpos,Validation Measures/euclidean_distance/site_rpos,_step,Agent Video,Validation Measures/discrete_frechet_distance/site_rpos,Validation Measures/discrete_frechet_distance/site_rrotvec,_timestamp,Mean Episode Return,Validation Measures/discrete_frechet_distance/qpos,Validation Measures/dynamic_time_warping/qvel,Validation Measures/dynamic_time_warping/site_rpos,Validation Measures/euclidean_distance/site_rrotvec
,2191.215661153,,,,,110.59396362304688,,,,,,,133529600.0,,,,1765254794.6649718,90.86508178710938,,,,
,2191.216290374,,,,,109.73552703857422,,,,,,,134348800.0,,,,1765254794.665534,90.4336929321289,,,,
,2191.216742618,,,,,109.76417541503906,,,,,,,135168000.0,,,,1765254794.6660914,92.65301513671875,,,,
,2191.217300925,,,,,109.0013427734375,,,,,,,135987200.0,,,,1765254794.6666431,91.88943481445312,,,,
,2191.217831153,,,,,110.88507080078125,,,,,,,136806400.0,,,,1765254794.6671965,94.36962127685547,,,,
,2191.218344883,,,,,110.31584167480469,,,,,,,137625600.0,,,,1765254794.6677282,94.3465576171875,,,,
,2191.218862729,,,,,110.83465576171875,,,,,,,138444800.0,,,,1765254794.6682577,96.54291534423828,,,,
,2191.219424786,,,,,109.93746948242188,,,,,,,139264000.0,,,,1765254794.6687744,95.55134582519531,,,,
,2191.219882125,,,,,111.39041900634766,,,,,,,140083200.0,,,,1765254794.6692848,98.61678314208984,,,,
,2191.220382505,,,,,110.75565338134766,,,,,,,140902400.0,,,,1765254794.6697934,98.33952331542969,,,,
,2191.220943435,,,,,109.47135925292969,,,,,,,141721600.0,,,,1765254794.670301,98.61590576171875,,,,
,2191.221392672,,,,,110.22438049316406,,,,,,,142540800.0,,,,1765254794.670811,99.1231918334961,,,,
,2191.221921945,,,,,111.87364959716797,,,,,,,143360000.0,,,,1765254794.671311,101.60987091064453,,,,
25.678424835205078,2191.225301387,3.061918258666992,176.264404296875,4.28754997253418,44.681121826171875,109.76678466796875,40.89552307128906,27.975486755371094,2.081944465637207,10.124980926513672,0.36650076508522034,0.18683341145515442,144179200.0,,0.36313575506210327,0.9452670216560364,1765254794.6738014,100.42703247070312,0.6411173343658447,245.38243103027344,11.107539176940918,0.46432527899742126
,2191.22590091,,,,,108.70935821533203,,,,,,,144998400.0,,,,1765254794.6751301,100.29446411132812,,,,
,2191.226476198,,,,,111.18720245361328,,,,,,,145817600.0,,,,1765254794.6757853,103.05126190185547,,,,
,2191.227034211,,,,,109.69496154785156,,,,,,,146636800.0,,,,1765254794.6763613,102.66434478759766,,,,
,2191.227521062,,,,,110.70130157470703,,,,,,,147456000.0,,,,1765254794.6769245,104.61198425292969,,,,
,2191.228038734,,,,,110.22322082519531,,,,,,,148275200.0,,,,1765254794.6774342,105.4108657836914,,,,
,2191.228558011,,,,,110.9610824584961,,,,,,,149094400.0,,,,1765254794.6779513,106.25578308105469,,,,
,2191.229073987,,,,,111.33332824707031,,,,,,,149913600.0,,,,1765254794.6784596,107.91543579101562,,,,
,2191.229623782,,,,,110.7777328491211,,,,,,,150732800.0,,,,1765254794.6789927,107.20301818847656,,,,
,2191.230084006,,,,,111.5143051147461,,,,,,,151552000.0,,,,1765254794.6794815,109.15725708007812,,,,
,2191.230586799,,,,,112.34580993652344,,,,,,,152371200.0,,,,1765254794.680011,111.25201416015625,,,,
,2191.231083134,,,,,109.8380355834961,,,,,,,153190400.0,,,,1765254794.6805031,108.35400390625,,,,
,2191.231609992,,,,,112.70667266845703,,,,,,,154009600.0,,,,1765254794.6810002,111.62191009521484,,,,
,2191.232080472,,,,,110.90242004394531,,,,,,,154828800.0,,,,1765254794.6815166,110.69893646240234,,,,
,2191.232582098,,,,,111.7829818725586,,,,,,,155648000.0,,,,1765254794.6820085,112.3776626586914,,,,
,2191.233065155,,,,,112.33242797851562,,,,,,,156467200.0,,,,1765254794.6825037,113.18547058105469,,,,
21.84329605102539,2191.236492529,2.963900566101074,171.52975463867188,4.217060565948486,47.289955139160156,111.25834655761719,44.85000228881836,25.978620529174805,2.0369842052459717,10.0084810256958,0.34662702679634094,0.16984359920024872,157286400.0,,0.3166459798812866,0.811534583568573,1765254794.6852217,113.39734649658203,0.603056788444519,238.99632263183594,9.403396606445312,0.4184088706970215
,2191.236957794,,,,,110.69688415527344,,,,,,,158105600.0,,,,1765254794.686325,113.40886688232422,,,,
,2191.237506698,,,,,111.16317749023438,,,,,,,158924800.0,,,,1765254794.6868463,114.26956176757812,,,,
,2191.238055291,,,,,111.39952087402344,,,,,,,159744000.0,,,,1765254794.6873977,115.3220443725586,,,,
,2191.238617982,,,,,111.30315399169922,,,,,,,160563200.0,,,,1765254794.6879535,115.23041534423828,,,,
,2191.239177968,,,,,111.90055847167969,,,,,,,161382400.0,,,,1765254794.6884854,116.22410583496094,,,,
,2191.239777449,,,,,110.65205383300781,,,,,,,162201600.0,,,,1765254794.689024,115.46561431884766,,,,
,2191.240337511,,,,,112.36603546142578,,,,,,,163020800.0,,,,1765254794.6896608,117.3820571899414,,,,
,2191.240914774,,,,,112.23606872558594,,,,,,,163840000.0,,,,1765254794.690221,118.31439208984375,,,,
