Validation Measures/dynamic_time_warping/site_rrotvec,Validation Measures/euclidean_distance/site_rpos,Validation Measures/dynamic_time_warping/site_rvel,Validation Info/Mean Episode Length,Validation Measures/euclidean_distance/qvel,Validation Measures/euclidean_distance/site_rvel,Validation Measures/euclidean_distance/site_rrotvec,Validation Measures/discrete_frechet_distance/site_rrotvec,_runtime,Mean Episode Return,Validation Measures/dynamic_time_warping/site_rpos,Agent Video,Mean Episode Length,Validation Measures/discrete_frechet_distance/site_rpos,_timestamp,_step,Validation Measures/dynamic_time_warping/qvel,Validation Measures/dynamic_time_warping/qpos,Validation Measures/discrete_frechet_distance/site_rvel,Validation Info/Mean Episode Return,Validation Measures/discrete_frechet_distance/qpos,Validation Measures/discrete_frechet_distance/qvel,Validation Measures/euclidean_distance/qpos
,,,,,,,,2208.69883818,152.477783203125,,,109.17987823486328,,1764574422.58963,282624000.0,,,,,,,
,,,,,,,,2208.699663307,156.08444213867188,,,111.45441436767578,,1764574422.59043,283443200.0,,,,,,,
,,,,,,,,2208.700355615,157.08749389648438,,,112.00288391113281,,1764574422.5912344,284262400.0,,,,,,,
,,,,,,,,2208.701018599,158.97689819335938,,,113.42144775390625,,1764574422.5919907,285081600.0,,,,,,,
,,,,,,,,2208.833446703,156.9907684326172,,,111.80847930908203,,1764574422.5926592,285900800.0,,,,,,,
,,,,,,,,2208.834752378,156.00535583496094,,,111.34657287597656,,1764574422.5933003,286720000.0,,,,,,,
,,,,,,,,2208.835874077,154.9186248779297,,,110.45574951171875,,1764574422.7261996,287539200.0,,,,,,,
10.371237754821777,0.09588469564914703,187.64691162109375,51.625003814697266,2.9328815937042236,2.1999435424804688,0.22186939418315887,0.5860331058502197,2208.840022949,154.72471618652344,5.042354106903076,,110.22467041015625,0.22050097584724426,1764574422.7304547,288358400.0,237.03273010253906,20.840320587158203,4.858578205108643,67.07122039794922,0.5102225542068481,11.43468189239502,0.28154441714286804
,,,,,,,,2208.840688367,155.0592803955078,,,110.51587677001953,,1764574422.7317007,289177600.0,,,,,,,
,,,,,,,,2208.84133552,156.5021209716797,,,111.56092834472656,,1764574422.732363,289996800.0,,,,,,,
,,,,,,,,2208.84196357,157.57452392578125,,,111.8835220336914,,1764574422.7330005,290816000.0,,,,,,,
,,,,,,,,2208.842635588,156.77403259277344,,,111.20877075195312,,1764574422.7336326,291635200.0,,,,,,,
,,,,,,,,2208.843266733,155.97760009765625,,,110.80750274658203,,1764574422.7342958,292454400.0,,,,,,,
,,,,,,,,2208.843921773,157.78253173828125,,,111.88788604736328,,1764574422.7349486,293273600.0,,,,,,,
,,,,,,,,2208.844578758,157.17486572265625,,,111.43790435791016,,1764574422.7355976,294092800.0,,,,,,,
,,,,,,,,2208.845208074,158.12722778320312,,,112.04756164550781,,1764574422.7362542,294912000.0,,,,,,,
,,,,,,,,2208.846307477,158.08863830566406,,,111.93675994873047,,1764574422.736893,295731200.0,,,,,,,
,,,,,,,,2208.846974497,157.4408721923828,,,111.52932739257812,,1764574422.7377262,296550400.0,,,,,,,
,,,,,,,,2208.847514201,159.76405334472656,,,112.8403091430664,,1764574422.738609,297369600.0,,,,,,,
,,,,,,,,2208.848035934,156.78602600097656,,,110.73255157470703,,1764574422.73918,298188800.0,,,,,,,
,,,,,,,,2208.84854289,157.7444305419922,,,111.23668670654297,,1764574422.7397265,299008000.0,,,,,,,
,,,,,,,,2208.849016735,157.68699645996094,,,111.41243743896484,,1764574422.7402234,299827200.0,,,,,,,
,,,,,,,,2208.849539208,158.664794921875,,,111.95771026611328,,1764574422.7406995,300646400.0,,,,,,,
9.41496467590332,0.0993070974946022,187.85025024414062,42.64102554321289,2.960339307785034,2.235161304473877,0.21190470457077026,0.5766708254814148,2208.852610167,158.5167999267578,5.311186790466309,,111.73360443115234,0.2326108068227768,1764574422.7433224,301465600.0,240.80807495117188,20.063419342041016,5.106133937835693,58.068153381347656,0.5053027868270874,12.167463302612305,0.2739150822162628
,,,,,,,,2208.853046363,159.76231384277344,,,112.3857650756836,,1764574422.744235,302284800.0,,,,,,,
,,,,,,,,2208.853538258,159.1493682861328,,,112.14908599853516,,1764574422.7447417,303104000.0,,,,,,,
,,,,,,,,2208.854034882,162.47044372558594,,,113.96900177001953,,1764574422.7452397,303923200.0,,,,,,,
,,,,,,,,2208.854531564,158.58065795898438,,,111.46040344238281,,1764574422.7457306,304742400.0,,,,,,,
,,,,,,,,2208.855078108,157.58755493164062,,,111.23722076416016,,1764574422.7462218,305561600.0,,,,,,,
,,,,,,,,2208.855773373,158.70816040039062,,,111.42036437988281,,1764574422.7467427,306380800.0,,,,,,,
,,,,,,,,2208.856712348,158.8404998779297,,,111.16951751708984,,1764574422.7473454,307200000.0,,,,,,,
,,,,,,,,2208.857309155,160.17117309570312,,,112.1482925415039,,1764574422.7483106,308019200.0,,,,,,,
,,,,,,,,2208.85774109,162.2645263671875,,,113.5008316040039,,1764574422.7489207,308838400.0,,,,,,,
,,,,,,,,2208.858205427,159.26318359375,,,111.77912139892578,,1764574422.749416,309657600.0,,,,,,,
,,,,,,,,2208.858704877,160.8505096435547,,,112.6552734375,,1764574422.7498996,310476800.0,,,,,,,
,,,,,,,,2208.859193088,158.85162353515625,,,111.2674560546875,,1764574422.750395,311296000.0,,,,,,,
,,,,,,,,2208.859692542,160.27450561523438,,,112.1393814086914,,1764574422.7508862,312115200.0,,,,,,,
,,,,,,,,2208.860207029,160.35243225097656,,,111.93716430664062,,1764574422.751378,312934400.0,,,,,,,
,,,,,,,,2208.860677081,159.81443786621094,,,111.68927764892578,,1764574422.751863,313753600.0,,,,,,,
9.640777587890625,0.09744081646203995,195.87046813964844,47.33928680419922,2.997239112854004,2.2900383472442627,0.21550577878952026,0.5748977065086365,2208.863886975,159.8214111328125,5.069305419921875,,111.69302368164062,0.21606841683387756,1764574422.7545466,314572800.0,241.02200317382812,20.170412063598633,5.057229042053223,65.07832336425781,0.4992657005786896,12.181615829467773,0.27617359161376953
,,,,,,,,2208.864403883,158.49449157714844,,,110.89906311035156,,1764574422.7555466,315392000.0,,,,,,,
,,,,,,,,2208.864902824,157.50209045410156,,,110.02452850341797,,1764574422.756049,316211200.0,,,,,,,
,,,,,,,,2208.866005306,160.82672119140625,,,112.2466049194336,,1764574422.7565818,317030400.0,,,,,,,
